timestamp,size
36374.44,100
36374.548,3200
36374.549,700
36374.55,8900
36374.554,2500
36374.557,100
36375.482,1000
36375.494,500
36375.612,100
36375.662,1300
36375.909,100
36376.042,100
36376.089,300
36376.481,900
36376.493,200
36377.492,100
36378.484,400
36378.494,100
36378.613,300
36379.491,100
36380.678,1300
36382.688,100
36383.809,1500
36383.81,2100
36383.811,2900
36383.816,5900
36383.818,2400
36383.824,1900
36384.484,1500
36385.065,3000
36385.448,5000
36385.484,1500
36385.485,3000
36385.49,3000
36386.482,1100
36386.878,3500
36387.482,800
36389.127,1000
36389.888,500
36391.18,1300
36391.183,1300
36391.185,1300
36391.189,1300
36391.191,3000
36391.483,800
36392.963,3000
36395.227,1300
36397.223,400
36398.644,1400
36398.702,1400
36399.142,3000
36399.483,1000
36399.708,400
36400.149,3000
36401.002,2500
36401.291,2700
36403.59,5000
36403.591,3000
36404.483,1600
36405.145,300
36405.311,5000
36405.454,1300
36405.481,1300
36405.886,1300
36405.926,500
36407.834,1000
36408.351,500
36408.608,1300
36416.801,1300
36417.672,3500
36418.778,1300
36419.164,200
36421.287,1000
36421.69,2000
36424.33,5000
36426.848,8000
36426.898,3100
36431.38,7900
36433.538,200
36435.671,1000
36435.89,13800
36436.706,1000
36440.592,2700
36443.14,10000
36448.743,1300
36448.747,5700
36448.748,7700
36448.749,700
36448.75,100
36448.993,12400
36448.996,1000
36448.998,3000
36449.0,2100
36449.156,4000
36449.281,1000
36449.283,500
36449.284,6700
36449.285,5500
36449.286,3000
36449.429,500
36449.508,100
36451.977,1400
36452.637,300
36453.408,50000
36453.41,2100
36454.07,1300
36455.472,600
36456.067,1300
36456.07,2100
36456.071,3000
36456.073,1300
36456.084,3000
36456.961,15000
36463.735,100
36464.344,1000
36465.277,100
36466.886,100
36467.398,100
36467.402,1000
36468.114,200
36470.941,11000
36471.632,100
36471.938,24000
36471.94,400
36471.942,3000
36471.946,3600
36472.005,100
36472.234,100
36472.666,100
36473.261,1500
36474.566,500
36474.751,1300
36474.754,3000
36474.986,3000
36475.608,1300
36476.668,1300
36478.704,2400
36480.037,10900
36481.256,400
36482.239,300
36482.523,5500
36483.247,1800
36484.703,500
36484.999,100
36485.302,1000
36486.483,2600
36496.185,1300
36496.555,1300
36501.549,1300
36505.39,4000
36507.052,1300
36518.376,1400
36521.941,1300
36526.754,5000
36531.292,100
36533.081,2700
36534.06,200
36541.029,400
36542.147,500
36542.367,1300
36544.641,1300
36545.794,100
36547.757,3000
36549.455,100
36549.933,2100
36549.954,1300
36550.026,200
36550.21,2000
36550.742,2000
36556.804,100
36565.576,700
36567.065,2000
36568.745,1300
36569.288,100
36573.902,3700
36574.45,1300
36574.454,1300
36585.035,100
36585.914,7200
36586.312,2700
36587.16,1300
36587.434,8000
36588.044,100
36589.057,100
36594.099,1300
36594.353,500
36596.494,10000
36599.121,100
36600.221,1000
36602.303,2500
36603.163,1300
36603.885,5000
36605.952,500
36606.172,100
36606.756,600
36607.569,1300
36608.988,11000
36608.991,1400
36609.652,2000
36609.909,1300
36610.274,600
36610.655,100
36615.501,1300
36615.529,1300
36618.135,1300
36618.149,1300
36620.057,100
36620.201,100
36620.96,1000
36621.13,4000
36621.385,2000
36621.602,1300
36623.995,10000
36627.462,400
36627.466,1300
36627.612,1400
36630.208,10000
36637.194,9700
36644.075,3000
36644.533,100
36645.479,10000
36651.016,1000
36652.128,100
36652.537,5000
36657.856,1300
36657.858,1300
36657.862,1200
36657.967,400
36660.374,3400
36662.821,100
36664.785,200
36666.33,500
36672.323,1300
36672.335,1300
36680.575,5000
36680.861,1000
36682.472,100
36685.695,1300
36691.132,500
36696.343,13500
36698.357,100
36698.868,500
36700.452,1200
36700.505,1300
36711.594,1200
36711.666,1300
36720.554,300
36720.773,1400
36720.791,1300
36720.824,1300
36722.575,400
36736.425,1300
36738.856,1300
36740.576,100
36746.03,1300
36748.014,1000
36751.955,1300
36765.008,1200
36766.844,1300
36766.845,2600
36766.902,1300
36782.308,1000
36796.197,100
36796.278,200
36797.046,200
36798.166,500
36804.716,1300
36807.925,10000
36808.525,5000
36808.526,200
36808.558,100
36809.376,2500
36811.253,900
36811.362,5700
36812.546,100
36817.655,600
36818.874,200
36820.84,10000
36822.065,1000
36822.235,100
36823.602,100
36824.424,1300
36824.429,1300
36824.433,1300
36824.476,1300
36824.68,1000
36825.183,1200
36825.189,2200
36825.19,2600
36825.2,1000
36825.207,1100
36825.208,4400
36825.219,1000
36825.224,2200
36825.277,1000
36825.902,100
36826.448,1000
36826.454,2000
36826.456,1000
36827.251,400
36827.611,1000
36829.046,2000
36829.049,1400
36829.464,5000
36830.502,3000
36830.776,5000
36831.363,200
36831.849,5000
36832.056,5000
36832.252,5000
36832.265,2400
36832.284,1300
36832.559,1300
36832.561,2600
36832.61,1300
36832.723,3700
36832.973,5000
36832.975,4400
36832.978,600
36832.979,4400
36832.981,3600
36832.982,4400
36832.984,200
36832.985,2200
36832.988,200
36832.989,4800
36832.992,200
36832.993,4800
36832.996,200
36832.997,4800
36833.0,200
36833.001,400
36836.992,1000
36837.346,2000
36837.483,3000
36837.485,1600
36844.131,1100
36844.398,5000
36844.4,13600
36846.304,3000
36847.184,4500
36849.521,500
36849.524,3000
