timestamp,size
36555.699,2000
36555.81,100
36558.303,100
36560.063,3000
36560.994,3000
36565.895,100
36568.072,300
36568.563,5000
36575.363,2000
36575.845,300
36576.253,300
36577.256,100
36577.552,1000
36578.017,300
36578.022,1000
36578.171,1000
36578.564,1000
36579.176,500
36579.709,300
36580.867,2200
36580.904,300
36583.51,1400
36584.004,1800
36584.703,5000
36584.74,3600
36584.771,2200
36584.921,300
36585.052,2200
36585.585,300
36585.965,1000
36586.505,600
36586.531,400
36586.541,1800
36586.688,1800
36586.699,1800
36586.7,1000
36586.704,1000
36587.366,1800
36588.164,1800
36590.151,1800
36590.271,1800
36590.62,500
36591.918,5000
36591.922,1800
36594.023,300
36595.18,1800
36595.183,3000
36596.728,1800
36596.729,3000
36596.735,3000
36598.14,100
36600.934,5000
36600.936,1400
36600.937,3000
36601.713,5900
36601.715,1400
36602.714,5000
36603.952,300
36603.954,800
36605.396,600
36605.397,3000
36606.314,300
36607.889,1000
36607.983,1400
36608.015,1400
36608.017,3000
36608.058,1000
36608.062,1000
36608.063,1000
36608.065,1000
36608.067,1400
36608.068,3000
36608.135,400
36608.136,200
36608.137,200
36608.138,400
36608.139,200
36609.936,1400
36609.937,3000
36612.707,200
36613.935,5100
36613.943,3000
36614.805,5000
36614.933,5000
36616.264,100
36616.947,7000
36617.185,100
36617.192,100
36617.444,300
36617.977,1500
36618.508,3000
36619.193,300
36620.354,2700
36620.357,1400
36622.75,5000
36622.974,7100
36625.175,200
36626.621,200
36633.977,200
36636.876,7000
36637.956,5000
36641.148,500
36643.373,200
36648.274,4600
36651.344,3000
36652.677,7500
36653.239,100
36653.299,700
36656.041,2000
36656.043,3000
36659.552,6800
36659.905,5300
36663.903,3000
36663.907,3500
36663.913,3000
36664.612,4000
36665.624,3000
36667.096,1400
36667.112,2600
36674.115,100
36674.971,2900
36685.484,100
36685.82,4300
36687.468,31000
36701.004,100
36702.974,100
36705.035,3000
36705.087,1300
36705.089,3000
36708.611,1600
36713.549,200
36713.929,700
36716.851,1500
36716.872,200
36717.551,3000
36721.657,1000
36722.049,3000
36725.59,300
36727.803,1000
36729.026,2000
36737.909,3000
36742.233,300
36745.871,1400
36746.026,700
36746.167,100
36746.251,3000
36747.606,100
36752.992,2000
36756.678,100
36757.327,2000
36762.037,3000
36764.48,1600
36766.217,2000
36767.566,3000
36767.572,3000
36770.169,100
36773.444,600
36774.049,300
36774.64,200
36776.016,2000
36784.0,100
36786.071,3000
36800.428,3000
36804.793,100
36811.503,200
36811.797,1000
36811.923,900
36812.774,200
36814.251,5000
36814.252,3000
36817.422,1500
36823.678,100
36827.842,1500
36834.948,200
36847.598,3200
36853.95,200
36856.419,200
36859.679,4400
36864.61,300
36865.304,4400
36866.262,300
36867.973,100
36870.061,300
36873.619,3000
36880.299,100
36882.222,100
36882.681,1000
36884.362,100
36885.43,1800
36894.228,100
36896.022,300
36896.174,1000
36898.199,200
36899.607,10000
36901.504,1800
36901.534,300
36901.536,300
36901.537,300
36911.629,100
36917.126,1800
36922.289,8000
36926.508,300
36927.237,100
36932.779,1000
36946.471,500
36947.081,300
36947.165,300
36954.084,5000
36955.317,200
36955.723,2000
36958.464,100
36959.329,1400
36960.645,300
36963.632,300
36977.863,300
36984.428,100
36985.235,100
36988.987,6000
36990.977,700
37002.38,300
37003.47,1000
37005.563,200
37006.139,200
37014.944,3000
37019.527,100
37024.678,100
37031.67,600
37032.146,500
37032.736,100
37032.819,300
37040.41,200
37047.595,200
37048.416,4500
37051.656,300
37051.657,1300
37051.658,300
37051.659,600
37051.66,600
37051.666,1000
37051.74,300
37052.284,49200
37055.745,3000
37065.8,1000
37066.308,1000
