timestamp,size
36556.889,100
36557.419,1000
36559.188,100
36559.239,2600
36560.059,800
36560.072,100
36560.163,2000
36560.978,100
36560.991,300
36563.124,100
36563.429,5000
36564.682,1800
36564.975,100
36567.066,800
36568.228,300
36570.63,1000
36571.075,800
36571.515,2500
36573.762,1000
36575.663,100
36576.232,300
36577.626,100
36577.928,1300
36578.014,1300
36578.524,200
36579.157,800
36579.273,1300
36579.288,100
36579.291,500
36579.32,300
36579.33,1000
36579.762,600
36579.878,2500
36580.009,2500
36580.025,700
36580.332,1400
36580.559,1400
36583.014,300
36583.506,1300
36583.7,1100
36583.701,3700
36583.861,3600
36584.001,5000
36585.539,300
36585.948,16800
36586.54,300
36586.541,300
36586.685,32500
36586.993,100
36587.003,1100
36587.034,500
36587.062,1000
36587.064,1000
36587.363,11300
36587.533,300
36587.545,300
36587.546,300
36587.547,300
36587.548,300
36587.549,300
36587.708,100
36589.495,100
36589.898,100
36590.181,1300
36590.503,100
36591.919,1400
36593.971,300
36593.981,300
36593.99,300
36594.0,300
36594.009,300
36594.019,300
36594.031,300
36594.044,300
36594.162,200
36595.177,1300
36596.206,100
36601.711,5000
36601.823,500
36602.217,200
36603.613,1700
36603.84,100
36604.864,1000
36607.864,4000
36607.866,4400
36607.897,300
36607.915,300
36607.926,300
36607.934,300
36607.941,300
36607.949,300
36607.955,300
36607.964,300
36607.97,300
36607.977,300
36607.993,300
36608.013,500
36608.029,500
36608.048,900
36608.134,100
36608.139,200
36608.14,200
36608.152,300
36608.154,200
36608.156,200
36608.159,200
36608.16,200
36608.162,200
36608.165,200
36608.182,300
36608.826,100
36609.336,100
36609.984,100
36612.629,300
36613.931,16000
36614.667,1000
36614.873,100
36617.223,200
36617.887,400
36618.504,1500
36618.506,18000
36620.352,300
36620.437,1500
36621.874,200
36625.721,1300
36628.84,2000
36630.972,2000
36632.847,400
36632.851,300
36632.878,7600
36633.201,700
36633.204,300
36633.22,300
36640.925,1400
36641.161,700
36641.162,300
36641.169,300
36641.176,300
36641.185,400
36641.195,300
36641.205,700
36646.052,500
36646.157,2000
36646.309,600
36647.597,800
36654.702,300
36657.589,100
36659.705,900
36661.535,100
36663.431,2000
36663.898,15000
36663.9,26500
36664.062,4300
36664.837,1000
36666.405,2900
36666.875,11700
36668.792,300
36671.381,200
36671.876,100
36675.371,100
36680.297,3000
36680.455,800
36685.227,4900
36686.305,2000
36689.193,100
36690.139,100
36691.57,400
36692.961,100
36693.765,100
36694.257,300
36697.617,100
36700.861,300
36701.012,200
36705.019,15000
36705.021,4500
36705.022,6900
36705.033,200
36705.068,19800
36705.092,1300
36705.168,700
36705.668,6300
36717.546,8000
36718.396,100
36718.785,100
36719.552,100
36721.046,2000
36732.439,100
36735.966,3800
36735.975,1500
36736.78,1000
36737.887,100
36737.907,200
36740.469,300
36745.865,900
36745.868,2000
36745.869,12100
36745.871,1900
36746.956,500
36748.773,1700
36749.58,300
36751.22,1300
36759.647,5600
36759.653,100
36759.918,100
36760.766,500
36761.866,100
36764.318,2000
36765.572,100
36766.609,8400
36766.85,1900
36773.459,300
36776.217,300
36776.223,100
36776.283,500
36777.019,100
36777.471,5200
36782.491,1000
36784.385,100
36784.761,200
36786.057,1400
36786.089,1300
36786.14,200
36788.575,400
36791.989,1800
36791.991,1400
36793.062,1000
36793.664,100
36794.986,300
36801.623,2000
36801.688,2000
36802.464,1000
36802.465,300
36804.332,21800
36807.287,4000
36812.642,100
36813.452,100
36814.122,1300
36816.426,1300
36817.185,100
36818.119,1100
36820.95,200
36821.015,600
36821.148,600
36823.619,2200
36826.06,500
36826.182,700
36828.988,10000
36828.993,900
36829.065,800
36829.895,2000
36830.662,1000
36831.861,100
36833.709,17700
36849.922,2000
36850.554,10000
36852.652,100
36855.89,200
36857.87,1200
36857.979,100
36858.667,1100
36858.817,200
36859.311,100
36863.716,700
36863.985,200
36864.755,300
36864.884,100
36866.256,500
36866.897,3000
36867.567,9100
36868.411,100
36870.077,2000
36870.172,700
36871.035,2900
36871.524,800
36873.984,4100
36874.476,800
36874.626,200
36878.4,400
36879.349,300
36879.501,100
36881.996,100
36882.094,100
36882.215,400
36882.281,100
36882.308,100
36882.369,200
36882.397,100
36882.422,100
36882.498,200
36882.666,200
36882.701,300
36882.861,200
36882.892,100
36883.135,100
36883.212,100
36883.363,100
36883.384,200
36883.389,100
36883.535,100
36883.673,100
36883.764,100
36883.863,100
36884.361,100
36884.861,200
36885.367,100
36885.407,100
36885.428,19000
36885.432,2200
36885.436,2200
36885.517,100
36886.012,7600
36887.858,200
36888.277,1000
36888.769,100
36891.197,300
36891.355,100
36891.958,2000
36892.111,500
36892.787,200
36894.385,100
36896.143,200
36896.168,2700
36896.202,200
36896.307,100
36896.308,300
36896.345,800
36896.397,200
36896.398,300
36896.498,200
36896.57,100
36896.657,200
36896.833,200
36897.157,500
36897.446,100
36897.476,400
36897.544,300
36897.545,300
36897.656,100
36898.157,100
36898.482,200
36898.656,100
36898.756,300
36898.818,200
36898.881,1600
36899.157,500
36899.447,200
36899.52,200
36899.609,100
36899.61,300
36899.656,100
36899.689,100
36900.157,200
36901.491,3000
36901.494,1600
36901.495,2200
36901.497,100
36901.498,2200
36901.5,4600
36901.501,1800
36901.518,3000
36901.54,300
36901.55,300
36901.556,300
36901.557,300
36901.558,300
36901.833,1700
36902.055,100
36902.133,2900
36902.84,600
36902.91,800
36903.339,500
36905.963,300
36908.684,100
36911.107,300
36911.883,100
36912.123,200
36912.174,100
36912.515,200
36914.579,100
36917.972,300
36918.111,100
36918.133,200
36918.378,600
36919.102,600
36919.537,500
36920.036,200
36925.145,100
36926.549,200
36929.38,200
36930.087,1000
36930.166,300
36932.22,100
36934.205,300
36934.299,200
36934.424,100
36935.129,300
36935.241,300
36935.417,300
36939.008,1500
36939.012,1000
36943.949,300
36947.186,300
36949.377,3800
36952.377,100
36952.402,100
36956.158,100
36956.706,500
36956.891,100
36957.335,3000
36957.881,2000
36958.925,1000
36960.589,100
36962.309,300
36962.396,600
36962.432,100
36962.562,100
36962.645,200
36962.761,100
36962.83,100
36963.038,100
36963.173,200
36963.209,100
36965.506,3000
36965.876,300
36965.877,300
36967.44,500
36967.966,100
36974.967,100
36977.555,1000
36981.341,200
36984.017,100
36984.52,100
36984.803,100
36984.89,100
36984.939,100
36985.005,100
36988.343,100
36990.904,100
36991.674,100
36992.53,500
36992.778,100
36992.781,12300
36993.037,100
36993.116,100
36993.393,100
36993.632,100
36995.043,100
36995.438,100
37000.849,100
37000.914,100
37001.012,100
37002.585,100
37002.586,300
37011.362,100
37017.371,200
37019.559,100
37019.682,200
37019.728,100
37023.991,100
37024.016,100
37027.266,2000
37027.476,700
37028.585,200
37031.033,1400
37032.34,300
37032.406,500
37032.57,100
37032.809,300
37032.824,300
37037.89,300
37038.609,500
37048.14,100
37051.11,700
37051.461,600
37051.477,500
37051.77,500
37051.816,700
37052.707,100
37056.988,100
37057.856,5000
37061.381,100
37062.42,300
37062.886,400
37066.303,1800
37066.304,300
37068.531,100
37068.565,1500
37068.571,300
37068.572,300
37069.566,300
37069.695,700
37069.696,300
37071.719,200
37071.755,3700
37071.761,300
37071.762,300
37071.773,300
37071.774,300
37071.791,300
37071.795,300
37071.807,300
37071.811,300
37071.822,300
37071.825,300
37071.84,300
37071.841,300
37071.855,300
37071.857,300
37071.872,300
37071.884,300
37071.897,300
37071.909,300
37071.92,300
37071.931,300
37071.942,300
37071.954,300
37071.975,500
37071.996,600
37072.772,100
37074.433,300
37077.867,100
37078.071,300
37078.072,300
37078.093,300
37078.117,300
37078.124,300
37078.133,300
37078.139,300
37078.146,300
37078.152,300
37078.159,300
37078.166,300
37078.173,300
37078.179,300
37078.19,300
37078.197,300
37078.218,300
37078.228,300
