timestamp,size
36374.729,1000
36375.661,500
36377.083,100
36377.38,400
36378.352,3300
36379.004,100
36379.157,400
36380.554,4600
36384.286,1000
36385.083,300
36399.389,100
36400.115,100
36400.746,100
36411.63,9000
36412.309,100
36419.132,100
36420.102,100
36420.141,5000
36426.84,900
36426.85,400
36426.853,3000
36426.86,500
36426.9,3000
36427.366,100
36429.904,400
36430.41,100
36430.49,500
36430.492,3000
36431.384,3000
36432.572,400
36432.576,600
36432.577,500
36432.578,800
36434.023,4700
36434.771,1000
36435.112,500
36435.117,2300
36435.279,200
36435.906,3000
36436.182,500
36438.382,5000
36438.395,400
36439.761,100
36440.596,3000
36441.277,500
36441.279,500
36441.28,1300
36442.111,100
36443.666,100
36448.512,200
36449.285,600
36449.797,200
36450.101,100
36451.785,100
36452.307,100
36453.921,400
36456.458,100
36457.474,200
36457.627,100
36460.636,100
36471.351,100
36471.522,100
36472.472,300
36473.587,100
36474.984,100
36479.222,300
36480.548,100
36482.079,1500
36482.08,800
36482.082,400
36482.27,500
36483.043,100
36483.061,500
36483.063,2300
36484.28,1100
36484.489,100
36484.566,100
36485.842,500
36485.845,500
36485.846,1500
36486.219,100
36487.727,100
36493.386,400
36493.397,100
36493.83,400
36496.707,100
36497.077,100
36499.305,100
36502.409,1100
36502.574,100
36517.402,100
36521.982,100
36534.769,100
36535.101,100
36542.967,200
36547.397,100
36547.769,1000
36554.289,200
36557.311,100
36557.83,500
36561.927,3500
36561.93,500
36563.791,1700
36566.613,100
36569.597,100
36569.808,300
36569.817,500
36574.937,100
36576.497,100
36578.917,500
36578.939,1000
36578.941,3000
36580.106,100
36586.434,100
36587.447,100
36596.56,100
36598.195,3000
36598.715,100
36599.503,700
36603.889,3000
36606.003,100
36611.709,100
36614.053,3000
36615.546,400
36621.024,300
36621.898,100
36623.854,3000
36624.509,100
36630.35,100
36636.804,3000
36637.706,100
36644.081,3000
36644.329,300
36645.081,500
36645.416,1100
36645.417,500
36646.001,100
36650.529,3000
36652.64,100
36653.541,3000
36655.387,200
36660.855,100
36667.245,100
36671.954,1000
36676.96,1000
36677.077,800
36677.084,400
36677.086,300
36677.087,3000
36677.088,1000
36677.148,300
36679.204,100
36680.29,600
36680.333,9300
36680.665,100
36680.666,3000
36685.749,500
36685.758,200
36690.376,400
36690.447,700
36695.109,800
36696.863,100
36697.204,10000
36703.507,100
36706.869,1000
36721.705,700
36722.205,100
36722.55,500
36729.55,3000
36734.196,1700
36734.538,100
36736.641,6000
36736.95,100
36740.599,100
36741.257,200
36741.26,100
36746.557,100
36747.658,1000
36753.619,2500
36755.505,300
36762.108,100
36764.674,6500
36764.69,500
36764.812,100
36766.322,500
36786.847,900
36790.282,600
36792.99,100
36793.088,200
36801.402,5000
36805.604,500
36808.475,100
36808.511,800
36808.608,800
36808.985,700
36809.495,100
36810.614,100
36811.365,3000
36812.376,200
36814.675,1300
36815.315,500
36820.65,100
36822.161,100
36824.107,100
36829.476,600
36832.291,200
36833.093,500
36833.535,100
36835.629,200
36839.825,600
36840.523,100
36841.977,9300
36844.911,200
36848.199,100
36853.873,100
36858.285,100
36859.734,300
36862.759,1000
36864.314,100
36867.009,200
36869.586,100
36872.609,100
36878.134,2000
36878.642,100
36879.242,100
36879.954,2000
36881.545,100
36883.574,300
36884.165,1500
36884.469,100
36885.19,200
36888.175,1000
36888.182,100
36889.111,100
36891.53,3500
36893.104,100
36895.283,900
36895.795,500
36897.183,400
36899.327,100
36900.109,100
36906.103,200
36906.969,100
36910.58,900
36915.63,900
36916.817,100
36917.804,100
36920.33,100
36921.387,400
36925.397,100
36929.414,100
36937.634,300
36938.302,200
36938.676,1000
36941.245,100
36941.381,4000
36949.581,1100
36956.335,100
36961.745,400
36964.336,200
36966.13,800
36966.131,800
36966.257,2000
36966.258,3000
36966.259,900
36966.943,2000
36967.457,100
36983.806,1100
36993.606,2800
36996.051,100
36996.736,200
36996.737,3000
37004.435,1100
37004.436,3000
37006.687,3300
37010.865,1000
37012.337,2800
37014.489,1000
37015.112,5000
37023.323,100
37024.467,200
37026.711,600
37030.82,100
37033.46,100
37033.64,100
37035.982,100
37036.855,300
37037.443,100
37038.003,100
37038.282,1100
37039.272,3000
37040.791,3000
37047.698,400
37048.008,3000
37050.764,200
37052.526,100
37053.217,700
37053.219,3000
37054.406,3000
37054.498,300
37054.576,200
37056.393,500
37059.215,1100
37059.392,100
37059.984,60000
37069.668,100
37070.734,100
37075.673,100
37080.916,200
37081.492,100
37087.451,100
37088.282,100
37090.854,10000
37092.98,500
37100.508,100
37108.586,1300
37110.16,100
37117.552,4900
37117.564,900
37117.902,400
37122.58,1100
37122.761,100
37126.265,500
37126.335,1000
37131.752,500
37138.564,100
37140.976,15000
37142.595,500
37153.305,1000
37153.772,100
37153.848,200
37154.99,100
37155.347,1000
37160.285,1100
37165.398,1300
37170.868,100
37173.423,9300
37178.578,500
37190.356,900
37193.388,400
37195.383,100
37220.201,500
37223.143,5000
37229.385,3000
37237.36,3000
37237.979,200
37242.544,300
37264.373,300
37266.117,1000
37280.117,100
37285.182,9300
37289.485,300
37292.539,3000
37292.572,300
37295.104,400
37296.253,500
37298.962,100
37298.964,200
37299.299,1100
37299.301,3000
37299.729,300
37300.04,1100
37300.43,1200
37301.056,1100
37305.461,1500
37315.644,9100
37317.808,500
37319.888,100
37330.168,4000
37334.665,100
37334.843,500
37338.12,2500
37349.616,100
37365.882,100
37375.915,100
37380.074,500
37384.953,1000
37390.186,100
37399.843,400
37406.317,100
37431.497,100
37436.336,600
37438.911,10000
37440.279,300
37441.539,300
37444.719,100
37451.634,100
37459.468,200
37467.107,100
37474.58,200
37496.437,1000
37505.064,500
37510.11,300
37513.346,100
37513.348,100
37513.447,100
37524.459,300
37527.508,200
37534.243,200
37536.147,300
37536.364,100
37538.407,5400
37540.099,700
37541.175,100
37551.351,100
37564.109,100
37566.446,1000
37571.233,300
37580.098,1000
37585.119,100
37585.801,100
37596.135,100
37606.529,200
37607.623,100
37623.653,100
37636.756,200
37642.919,500
37645.73,100
37654.538,3000
37660.304,3000
37660.508,3000
37660.85,2500
37671.979,1100
37672.322,5000
37674.371,100
37684.875,100
37686.258,200
37702.156,3100
37703.051,100
37706.52,100
37708.923,50000
37710.666,400
37718.683,3000
37719.087,300
37723.403,400
37723.95,7000
37723.952,3000
37728.893,5000
37729.047,3700
37729.05,3000
37729.444,100
37729.547,100
37729.631,100
37735.32,300
37737.769,100
37741.223,500
37741.949,800
37744.225,100
37747.778,500
37757.856,200
37758.975,300
37759.438,300
37765.319,1000
37773.647,200
37786.162,200
37792.343,100
37795.223,200
37797.701,200
37798.506,20000
37799.163,50000
37809.176,300
37810.106,700
37815.283,500
37815.5,100
37815.636,100
37828.894,300
37840.881,100
37842.224,100
37844.481,100
37846.131,100
37848.721,100
37860.915,100
37871.948,1400
37873.339,200
37885.408,5000
37889.181,50000
37891.846,100
37891.93,100
37892.833,3000
37910.151,100
37910.193,100
37910.234,100
37918.446,300
37918.447,200
37923.069,900
37923.113,3000
37929.169,40000
37929.198,1000
37934.361,100
37941.326,3000
37943.251,1400
37945.115,100
37951.877,3000
37958.0,1000
37958.68,1000
37967.711,100
37975.027,3000
37978.871,100
37979.865,3000
37982.307,600
37993.292,3000
37996.522,3000
38003.569,3000
38009.47,100
38013.402,100
38018.242,1000
38019.418,9300
38024.659,300
38026.848,3000
38032.518,100
38038.426,100
38040.538,100
38049.596,3000
38049.706,3000
38054.55,1400
38055.552,900
38056.549,100
38058.971,100
38060.386,100
38061.059,200
38064.018,100
38064.221,100
38074.186,300
38075.784,1100
38079.998,3000
38083.616,5000
38088.79,200
38090.25,200
38095.925,100
38100.621,200
38100.624,100
38113.577,200
38116.638,5000
38120.249,300
38121.67,5000
38126.758,100
38129.873,100
38133.82,100
38138.336,1100
38138.474,3000
38138.54,600
38138.599,6100
38147.01,3000
38148.935,500
38150.461,1400
38154.075,3000
38160.904,200
38160.997,3000
38161.627,100
38168.889,3000
38176.963,1400
38181.625,1100
38193.913,100
38197.336,300
38197.437,300
38209.462,500
38209.463,1700
38212.606,1000
38212.664,100
38219.207,500
38224.145,100
38230.512,100
38232.099,1400
38235.096,700
38236.051,100
38238.162,1700
38238.168,500
38238.589,3000
38239.237,100
38239.39,1900
38240.086,900
38240.904,600
38240.905,500
38240.906,800
38240.97,700
38241.562,1800
38242.222,1700
38245.848,500
38258.227,1400
38259.213,1100
38259.93,100
38271.31,1100
38273.79,400
38275.734,5000
38300.571,100
38300.932,400
38302.108,4400
38305.387,500
38305.422,1100
38307.434,2200
38307.435,500
38310.633,100
38314.706,5000
38315.778,1000
38333.581,3000
38334.312,100
38335.423,300
38343.152,2100
38343.833,200
38349.864,100
38366.453,100
38369.004,300
38369.112,400
38370.993,200
38392.585,800
38407.369,600
38410.205,100
38415.785,200
38418.248,100
38418.253,300
38433.629,100
38440.2,200
38442.601,400
38451.014,1800
38451.462,500
38451.463,2200
38452.347,100
38454.98,300
38461.436,1500
38475.319,1100
38484.719,100
38487.043,100
38494.764,100
38496.397,100
38508.176,1100
38512.119,100
38512.128,100
38512.129,100
38512.272,100
38512.713,3000
38521.235,3000
38534.243,4000
38534.246,300
38537.575,300
38547.411,1200
38552.714,100
38555.913,100
