timestamp,size
36435.116,8300
36435.117,4900
36435.131,12100
36435.134,300
36435.136,1600
36435.357,1000
36436.273,100
36436.928,100
36437.148,200
36437.744,100
36438.116,200
36440.001,500
36440.311,19300
36440.328,200
36441.496,400
36441.508,800
36442.621,500
36443.501,2000
36446.136,200
36448.904,2000
36451.19,1000
36452.103,100
36452.278,300
36453.277,92100
36454.647,2000
36456.923,200
36459.295,300
36459.297,1100
36460.144,100
36460.249,100
36461.425,3000
36462.765,1300
36462.78,10300
36466.263,10000
36468.939,4000
36470.825,100
36472.67,5000
36474.606,600
36477.338,500
36477.452,1300
36480.029,7000
36480.951,5000
36481.44,500
36483.599,500
36483.753,25900
36485.826,1000
36488.65,47600
36489.263,800
36496.377,100
36498.87,100
36499.153,100
36499.71,1000
36501.44,3500
36503.896,400
36506.62,3000
36508.239,4000
36509.95,4000
36514.146,700
36516.3,1000
36516.889,100
36516.893,300
36518.863,2000
36521.742,100
36525.664,1300
36525.819,1300
36530.26,4000
36532.05,1300
36532.132,1300
36534.016,1100
36537.789,5000
36540.04,100
36545.617,1000
36547.39,100
36553.906,100
36555.007,3700
36556.744,100
36557.445,1300
36558.707,1000
36558.767,1300
36559.15,2000
36561.316,100
36561.78,1300
36561.789,20600
36562.666,1300
36572.811,10000
36575.271,1000
36577.624,100
36579.81,700
36587.904,100
36591.952,1000
36594.277,1000
36601.211,1200
36601.313,100
36603.325,300
36606.703,5900
36608.68,1300
36619.156,100
36623.637,500
36626.701,100
36632.155,2700
36633.272,200
36636.267,300
36637.482,5000
36640.336,2000
36641.735,100
36642.584,10000
36648.344,1500
36650.852,3000
36651.418,100
36655.971,100
36659.099,26400
36660.65,300
36661.91,100
36662.06,7700
36666.332,800
36666.349,1400
36666.353,1300
36666.428,1300
36666.429,11000
36666.434,2200
36666.437,2200
36666.44,2200
36666.472,1100
36681.098,7900
36681.645,500
36688.511,1000
36693.918,100
36696.626,100
36699.615,100
36705.131,1000
36705.501,7300
36717.832,200
36723.79,100
36726.301,100
36731.664,500
36733.963,100
36735.426,7100
36735.653,100
36735.659,1000
36736.641,300
36736.753,300
36736.816,100
36736.854,100
36740.685,100
36742.803,2500
36756.506,100
36760.549,47800
36771.527,3000
36772.668,40200
36793.042,1300
36804.624,4300
36804.948,100
36811.341,4700
36822.367,2300
36822.375,1300
36822.377,4800
36844.023,200
36844.029,500
36844.041,200
36844.047,100
36844.049,1300
36844.053,100
36844.06,200
36844.074,100
36844.075,1700
36844.099,500
36844.108,100
36844.11,100
36844.116,100
36853.206,5000
36853.209,5000
36853.212,5000
36853.215,5000
36853.234,5000
36853.239,5000
36853.242,1800
36853.244,3300
36858.362,500
36861.039,400
36881.074,300
36885.771,100
36886.431,500
36894.084,1000
36895.013,200
36896.178,1000
36901.373,57700
36902.497,200
36902.516,2700
36902.535,1300
36902.545,1300
36906.224,2600
36906.315,2000
36907.053,2600
36907.055,3700
36907.057,30600
36907.059,4400
36907.06,26200
36907.061,400
36907.062,1800
36907.063,2200
36907.064,3700
36907.065,1800
36907.066,3500
36907.067,5200
36907.071,2200
36907.074,2200
36907.077,11100
36907.107,1300
36907.11,5100
36907.13,1300
36907.131,3700
36907.142,2200
36907.298,1300
36908.114,200
36908.12,200
